--- Log started at 2025-06-06 17:22:30 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
2025-06-06 17:22:32 | No objects detected
2025-06-06 17:22:33 | No objects detected
2025-06-06 17:22:34 | Cam 1 | Person 1, Distance: 22.37 cm
2025-06-06 17:22:34 | Cam 1 | Person 2, Distance: 22.37 cm
2025-06-06 17:22:34 | Cam 1 | Person 3, Distance: 22.37 cm
2025-06-06 17:22:34 | Cam 1 | Person 4, Distance: 22.37 cm
2025-06-06 17:22:34 | Cam 1 | Person 5, Distance: 22.37 cm
2025-06-06 17:22:34 | Cam 1 | Person 6, Distance: 22.37 cm
2025-06-06 17:22:34 | Cam 2 | Person 1, Distance: 25.48 cm
2025-06-06 17:22:34 | Cam 2 | Person 2, Distance: 25.48 cm
2025-06-06 17:22:34 | Cam 2 | Person 3, Distance: 25.48 cm
2025-06-06 17:22:35 | Cam 1 | Person 1, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 2, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 3, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 4, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 5, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 6, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 7, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 8, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 1 | Person 9, Distance: 22.55 cm
2025-06-06 17:22:35 | Cam 2 | Person 1, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 2, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 3, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 4, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 5, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 6, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 7, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 8, Distance: 25.41 cm
2025-06-06 17:22:35 | Cam 2 | Person 9, Distance: 25.41 cm
2025-06-06 17:22:36 | Cam 1 | Person 1, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 2, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 3, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 4, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 5, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 6, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 7, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 8, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 1 | Person 9, Distance: 21.7 cm
2025-06-06 17:22:36 | Cam 2 | Person 1, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 2, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 3, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 4, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 5, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 6, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 7, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 8, Distance: 26.67 cm
2025-06-06 17:22:36 | Cam 2 | Person 9, Distance: 26.67 cm
2025-06-06 17:22:37 | Cam 1 | Person 1, Distance: 23.23 cm
2025-06-06 17:22:37 | Cam 1 | Person 2, Distance: 23.23 cm
2025-06-06 17:22:37 | Cam 1 | Person 3, Distance: 23.23 cm
2025-06-06 17:22:37 | Cam 1 | Person 4, Distance: 23.23 cm
2025-06-06 17:22:37 | Cam 1 | Person 5, Distance: 23.23 cm
2025-06-06 17:22:37 | Cam 1 | Person 6, Distance: 23.23 cm
2025-06-06 17:22:37 | Cam 2 | Person 1, Distance: 28.14 cm
2025-06-06 17:22:37 | Cam 2 | Person 2, Distance: 28.14 cm
2025-06-06 17:22:37 | Cam 2 | Person 3, Distance: 28.14 cm
2025-06-06 17:22:37 | Cam 2 | Person 4, Distance: 28.14 cm
2025-06-06 17:22:37 | Cam 2 | Person 5, Distance: 28.14 cm
2025-06-06 17:22:37 | Cam 2 | Person 6, Distance: 28.14 cm
2025-06-06 17:22:38 | Cam 1 | Person 1, Distance: 24.7 cm
2025-06-06 17:22:38 | Cam 1 | Person 2, Distance: 24.7 cm
2025-06-06 17:22:38 | Cam 1 | Person 3, Distance: 24.7 cm
2025-06-06 17:22:38 | Cam 1 | Person 4, Distance: 24.7 cm
2025-06-06 17:22:38 | Cam 2 | Person 1, Distance: 29.57 cm
2025-06-06 17:22:38 | Cam 2 | Person 2, Distance: 29.57 cm
2025-06-06 17:22:38 | Cam 2 | Person 3, Distance: 29.57 cm
2025-06-06 17:22:38 | Cam 2 | Person 4, Distance: 29.57 cm
2025-06-06 17:22:39 | Cam 1 | Person 1, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 2, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 3, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 4, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 5, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 6, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 7, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 8, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 9, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 10, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 1 | Person 11, Distance: 19.97 cm
2025-06-06 17:22:39 | Cam 2 | Person 1, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 2, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 3, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 4, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 5, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 6, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 7, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 8, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 9, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 10, Distance: 22.24 cm
2025-06-06 17:22:39 | Cam 2 | Person 11, Distance: 22.24 cm
2025-06-06 17:22:40 | Cam 1 | Person 1, Distance: 18.71 cm
2025-06-06 17:22:40 | Cam 1 | Person 2, Distance: 18.71 cm
2025-06-06 17:22:40 | Cam 1 | Person 3, Distance: 18.71 cm
2025-06-06 17:22:40 | Cam 1 | Person 4, Distance: 18.71 cm
2025-06-06 17:22:40 | Cam 2 | Person 1, Distance: 20.87 cm
2025-06-06 17:22:40 | Cam 2 | Person 2, Distance: 20.87 cm
2025-06-06 17:22:40 | Cam 2 | Person 3, Distance: 20.87 cm
2025-06-06 17:22:40 | Cam 2 | Person 4, Distance: 20.87 cm
2025-06-06 17:22:41 | Cam 1 | Person 1, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 2, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 3, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 4, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 5, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 6, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 7, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 8, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 1 | Person 9, Distance: 19.24 cm
2025-06-06 17:22:41 | Cam 2 | Person 1, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 2, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 3, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 4, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 5, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 6, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 7, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 8, Distance: 20.98 cm
2025-06-06 17:22:41 | Cam 2 | Person 9, Distance: 20.98 cm
2025-06-06 17:22:42 | Cam 1 | Person 1, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 2, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 3, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 4, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 5, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 6, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 7, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 8, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 1 | Person 9, Distance: 19.36 cm
2025-06-06 17:22:42 | Cam 2 | Person 1, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 2, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 3, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 4, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 5, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 6, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 7, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 8, Distance: 21.25 cm
2025-06-06 17:22:42 | Cam 2 | Person 9, Distance: 21.25 cm
2025-06-06 17:22:43 | Cam 1 | Person 1, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 2, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 3, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 4, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 5, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 6, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 7, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 8, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 1 | Person 9, Distance: 19.11 cm
2025-06-06 17:22:43 | Cam 2 | Person 1, Distance: 21.25 cm
2025-06-06 17:22:43 | Cam 2 | Person 2, Distance: 21.25 cm
2025-06-06 17:22:43 | Cam 2 | Person 3, Distance: 21.25 cm
