--- Log started at 2025-06-06 17:52:13 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
Cam 3 Focal Length: 111.11 pixels
Cam 4 Focal Length: 111.11 pixels
2025-06-06 17:52:14 | No objects detected
2025-06-06 17:52:15 | No objects detected
2025-06-06 17:52:16 | No objects detected
2025-06-06 17:52:17 | No objects detected
2025-06-06 17:52:18 | No objects detected
2025-06-06 17:52:19 | No objects detected
2025-06-06 17:52:22 | Cam 4 | Person 6, Distance: 29.67 cm
2025-06-06 17:52:22 | Cam 4 | Person 7, Distance: 29.67 cm
2025-06-06 17:52:22 | Cam 4 | Person 8, Distance: 29.67 cm
2025-06-06 17:52:22 | Cam 4 | Person 9, Distance: 29.67 cm
2025-06-06 17:52:22 | Cam 4 | Person 10, Distance: 29.67 cm
2025-06-06 17:52:22 | Cam 4 | Person 11, Distance: 29.67 cm
2025-06-06 17:52:22 | Cam 4 | Person 12, Distance: 29.67 cm
2025-06-06 17:52:23 | Cam 1 | Person 1, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 2, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 3, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 4, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 5, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 6, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 7, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 8, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 9, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 10, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 11, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 12, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 1 | Person 13, Distance: 20.77 cm
2025-06-06 17:52:23 | Cam 2 | Person 1, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 2, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 3, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 4, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 5, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 6, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 7, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 8, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 9, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 10, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 11, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 12, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 2 | Person 13, Distance: 20.92 cm
2025-06-06 17:52:23 | Cam 3 | Person 1, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 2, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 3, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 4, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 5, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 6, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 7, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 8, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 9, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 10, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 11, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 12, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 3 | Person 13, Distance: 30.84 cm
2025-06-06 17:52:23 | Cam 4 | Person 1, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 2, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 3, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 4, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 5, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 6, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 7, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 8, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 9, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 10, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 11, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 12, Distance: 30.49 cm
2025-06-06 17:52:23 | Cam 4 | Person 13, Distance: 30.49 cm
2025-06-06 17:52:24 | Cam 1 | Person 1, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 2, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 3, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 4, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 5, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 6, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 7, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 8, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 9, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 10, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 11, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 12, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 13, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 1 | Person 14, Distance: 19.88 cm
2025-06-06 17:52:24 | Cam 2 | Person 1, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 2, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 3, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 4, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 5, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 6, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 7, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 8, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 9, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 10, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 11, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 12, Distance: 19.73 cm
2025-06-06 17:52:24 | Cam 2 | Person 13, Distance: 19.73 cm
