--- Log started at 2025-06-06 10:07:58 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:07:59 | No objects detected
2025-06-06 10:08:00 | No objects detected
2025-06-06 10:08:01 | No objects detected
2025-06-06 10:08:02 | No objects detected
2025-06-06 10:08:03 | No objects detected
2025-06-06 10:08:07 | Cam 2 | Person 6, Distance: 266.31 cm
2025-06-06 10:08:07 | Cam 2 | Person 7, Distance: 266.31 cm
2025-06-06 10:08:07 | Cam 2 | Person 8, Distance: 266.31 cm
2025-06-06 10:08:07 | Cam 2 | Person 9, Distance: 266.31 cm
2025-06-06 10:08:07 | Cam 2 | Person 10, Distance: 266.31 cm
2025-06-06 10:08:07 | Cam 2 | Person 11, Distance: 266.31 cm
2025-06-06 10:08:07 | Cam 2 | Person 12, Distance: 266.31 cm
2025-06-06 10:08:08 | Cam 1 | Person 1, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 2, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 3, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 4, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 5, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 6, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 7, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 8, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 1 | Person 9, Distance: 212.78 cm
2025-06-06 10:08:08 | Cam 2 | Person 1, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 2, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 3, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 4, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 5, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 6, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 7, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 8, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 9, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 10, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 11, Distance: 255.48 cm
2025-06-06 10:08:08 | Cam 2 | Person 12, Distance: 255.48 cm
2025-06-06 10:08:09 | Cam 1 | Person 1, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 2, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 3, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 4, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 5, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 6, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 7, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 8, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 9, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 10, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 11, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 1 | Person 12, Distance: 214.67 cm
2025-06-06 10:08:09 | Cam 2 | Person 1, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 2, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 3, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 4, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 5, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 6, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 7, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 8, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 9, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 10, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 11, Distance: 256.72 cm
2025-06-06 10:08:09 | Cam 2 | Person 12, Distance: 256.72 cm
2025-06-06 10:08:10 | Cam 1 | Person 1, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 2, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 3, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 4, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 5, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 6, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 7, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 8, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 9, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 10, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 11, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 1 | Person 12, Distance: 218.03 cm
2025-06-06 10:08:10 | Cam 2 | Person 1, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 2, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 3, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 4, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 5, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 6, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 7, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 8, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 9, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 10, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 11, Distance: 273.19 cm
2025-06-06 10:08:10 | Cam 2 | Person 12, Distance: 273.19 cm
2025-06-06 10:08:11 | Cam 1 | Person 1, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 2, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 3, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 4, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 5, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 6, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 7, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 8, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 9, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 10, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 11, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 1 | Person 12, Distance: 214.17 cm
2025-06-06 10:08:11 | Cam 2 | Person 1, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 2, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 3, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 4, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 5, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 6, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 7, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 8, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 9, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 10, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 11, Distance: 275.49 cm
2025-06-06 10:08:11 | Cam 2 | Person 12, Distance: 275.49 cm
2025-06-06 10:08:12 | Cam 1 | Person 1, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 2, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 3, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 4, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 5, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 6, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 7, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 8, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 9, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 10, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 11, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 1 | Person 12, Distance: 216.54 cm
2025-06-06 10:08:12 | Cam 2 | Person 1, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 2, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 3, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 4, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 5, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 6, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 7, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 8, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 9, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 10, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 11, Distance: 270.83 cm
2025-06-06 10:08:12 | Cam 2 | Person 12, Distance: 270.83 cm
2025-06-06 10:08:13 | Cam 1 | Person 1, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 2, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 3, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 4, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 5, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 6, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 7, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 8, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 9, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 10, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 11, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 1 | Person 12, Distance: 202.99 cm
2025-06-06 10:08:13 | Cam 2 | Person 1, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 2, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 3, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 4, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 5, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 6, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 7, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 8, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 9, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 10, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 11, Distance: 239.0 cm
2025-06-06 10:08:13 | Cam 2 | Person 12, Distance: 239.0 cm
2025-06-06 10:08:14 | Cam 1 | Person 1, Distance: 207.4 cm
2025-06-06 10:08:14 | Cam 1 | Person 2, Distance: 207.4 cm
2025-06-06 10:08:14 | Cam 1 | Person 3, Distance: 207.4 cm
2025-06-06 10:08:14 | Cam 1 | Person 4, Distance: 207.4 cm
2025-06-06 10:08:14 | Cam 1 | Person 5, Distance: 207.4 cm
