--- Log started at 2025-06-06 17:37:53 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
2025-06-06 17:37:54 | No objects detected
2025-06-06 17:37:55 | No objects detected
2025-06-06 17:37:56 | No objects detected
2025-06-06 17:38:03 | Cam 2 | Person 3, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 4, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 5, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 6, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 7, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 8, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 9, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 10, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 11, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 12, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 13, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 14, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 15, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 16, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 17, Distance: 33.54 cm
2025-06-06 17:38:03 | Cam 2 | Person 18, Distance: 33.54 cm
2025-06-06 17:38:04 | Cam 1 | Person 1, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 2, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 3, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 4, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 5, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 6, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 7, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 8, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 9, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 10, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 11, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 12, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 13, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 14, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 15, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 16, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 17, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 18, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 1 | Person 19, Distance: 19.43 cm
2025-06-06 17:38:04 | Cam 2 | Person 1, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 2, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 3, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 4, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 5, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 6, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 7, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 8, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 9, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 10, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 11, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 12, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 13, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 14, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 15, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 16, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 17, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 18, Distance: 26.4 cm
2025-06-06 17:38:04 | Cam 2 | Person 19, Distance: 26.4 cm
2025-06-06 17:38:05 | Cam 1 | Person 1, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 2, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 3, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 4, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 5, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 6, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 7, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 8, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 9, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 10, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 11, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 12, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 13, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 14, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 1 | Person 15, Distance: 20.02 cm
2025-06-06 17:38:05 | Cam 2 | Person 1, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 2, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 3, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 4, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 5, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 6, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 7, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 8, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 9, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 10, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 11, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 12, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 13, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 14, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 15, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 16, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 17, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 18, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 19, Distance: 32.85 cm
2025-06-06 17:38:05 | Cam 2 | Person 20, Distance: 32.85 cm
2025-06-06 17:38:06 | Cam 1 | Person 1, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 2, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 3, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 4, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 5, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 6, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 7, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 8, Distance: 21.21 cm
2025-06-06 17:38:06 | Cam 1 | Person 9, Distance: 21.21 cm
