--- Log started at 2025-06-06 10:11:12 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:11:13 | No objects detected
2025-06-06 10:11:14 | No objects detected
2025-06-06 10:11:15 | No objects detected
2025-06-06 10:11:16 | No objects detected
2025-06-06 10:11:20 | Cam 2 | Person 11, Distance: 275.31 cm
2025-06-06 10:11:20 | Cam 2 | Person 12, Distance: 275.31 cm
2025-06-06 10:11:21 | Cam 1 | Person 1, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 2, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 3, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 4, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 5, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 6, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 7, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 8, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 9, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 10, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 11, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 1 | Person 12, Distance: 205.02 cm
2025-06-06 10:11:21 | Cam 2 | Person 1, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 2, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 3, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 4, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 5, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 6, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 7, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 8, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 9, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 10, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 11, Distance: 260.12 cm
2025-06-06 10:11:21 | Cam 2 | Person 12, Distance: 260.12 cm
2025-06-06 10:11:22 | Cam 1 | Person 1, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 2, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 3, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 4, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 5, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 6, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 7, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 8, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 9, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 10, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 11, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 1 | Person 12, Distance: 218.94 cm
2025-06-06 10:11:22 | Cam 2 | Person 1, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 2, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 3, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 4, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 5, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 6, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 7, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 8, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 9, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 10, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 11, Distance: 257.36 cm
2025-06-06 10:11:22 | Cam 2 | Person 12, Distance: 257.36 cm
2025-06-06 10:11:23 | Cam 1 | Person 1, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 2, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 3, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 4, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 5, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 6, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 7, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 8, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 9, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 10, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 11, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 1 | Person 12, Distance: 211.8 cm
2025-06-06 10:11:23 | Cam 2 | Person 1, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 2, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 3, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 4, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 5, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 6, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 7, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 8, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 9, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 10, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 11, Distance: 258.79 cm
2025-06-06 10:11:23 | Cam 2 | Person 12, Distance: 258.79 cm
2025-06-06 10:11:24 | Cam 1 | Person 1, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 2, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 3, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 4, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 5, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 6, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 7, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 8, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 9, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 10, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 11, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 1 | Person 12, Distance: 224.48 cm
2025-06-06 10:11:24 | Cam 2 | Person 1, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 2, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 3, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 4, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 5, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 6, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 7, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 8, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 9, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 10, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 11, Distance: 266.36 cm
2025-06-06 10:11:24 | Cam 2 | Person 12, Distance: 266.36 cm
2025-06-06 10:11:25 | Cam 1 | Person 1, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 2, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 3, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 4, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 5, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 6, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 7, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 8, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 9, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 10, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 11, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 1 | Person 12, Distance: 223.24 cm
2025-06-06 10:11:25 | Cam 2 | Person 1, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 2, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 3, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 4, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 5, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 6, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 7, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 8, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 9, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 10, Distance: 274.4 cm
2025-06-06 10:11:25 | Cam 2 | Person 11, Distance: 274.4 cm
